ticket_id,customer_id,ticket_date,issue_type,priority,resolved
48,22,2024-08-14,Bug,Low,False
49,22,2024-03-28,Technical,High,True
50,23,2021-12-08,Bug,Medium,False
51,23,2022-01-29,Bug,Low,True
52,23,2022-01-27,Technical,Medium,True
53,23,2022-03-27,Feature Request,Low,False
54,24,2024-08-26,Bug,Low,False
55,24,2024-12-16,Bug,Medium,True
56,24,2021-06-15,Billing,High,True
57,24,2021-03-24,Billing,Low,False
58,25,2024-02-21,Technical,High,True
59,25,2022-01-31,Billing,High,True
60,26,2020-10-18,Billing,High,False
61,27,2020-11-20,Billing,High,False
62,27,2020-10-22,Billing,High,True
63,27,2020-09-23,Billing,Low,False
64,27,2020-11-25,Bug,Medium,False
65,27,2020-09-02,Bug,High,True
66,27,2020-09-28,Bug,Medium,True
67,28,2020-06-23,Billing,Low,False
68,28,2024-03-01,Billing,High,False
69,28,2022-05-10,Technical,Low,True
70,28,2020-09-09,Feature Request,High,False
71,29,2021-09-08,Technical,High,True
72,29,2023-10-26,Technical,Low,False
73,29,2024-06-03,Feature Request,Low,True
74,30,2021-08-20,Bug,High,True
75,30,2023-02-10,Billing,Low,True
76,30,2024-02-22,Bug,Medium,True
77,30,2024-02-17,Billing,Low,False
78,31,2024-07-12,Technical,Low,True
79,31,2024-05-21,Billing,High,True
80,32,2022-02-20,Feature Request,High,True
81,34,2024-11-10,Feature Request,High,False
82,34,2024-10-28,Feature Request,Medium,False
83,34,2024-07-08,Feature Request,High,True
84,35,2023-04-15,Technical,High,True
85,35,2023-06-22,Feature Request,High,True
86,36,2024-08-29,Bug,High,False
87,36,2024-08-05,Billing,Low,True
88,37,2024-10-23,Billing,Medium,False
89,37,2022-11-13,Feature Request,Low,True
90,38,2023-05-28,Feature Request,High,True
91,38,2023-05-15,Billing,Low,False
92,38,2024-08-28,Technical,Low,False
93,39,2024-10-12,Billing,Low,True
94,41,2023-08-24,Billing,High,True
95,41,2023-06-03,Technical,High,False
96,41,2024-01-27,Bug,Low,False
97,42,2022-04-29,Billing,Low,True
98,42,2024-08-05,Billing,High,False
99,42,2023-01-25,Billing,Low,True
100,42,2023-01-22,Feature Request,Medium,True
101,43,2020-07-23,Bug,Low,True
102,44,2021-12-22,Billing,Medium,False
103,46,2024-09-26,Billing,Medium,False
104,46,2024-05-26,Bug,Medium,True
105,47,2024-09-13,Technical,Medium,True
106,47,2024-06-14,Feature Request,High,False
107,48,2024-04-18,Bug,Low,True
108,48,2024-01-03,Feature Request,Medium,True
109,48,2024-04-20,Billing,Medium,True
110,48,2024-08-16,Bug,High,True
111,49,2023-01-24,Feature Request,High,False
112,49,2021-11-20,Technical,Low,True
113,49,2020-10-15,Feature Request,Medium,True
114,50,2022-12-05,Bug,High,False
115,50,2022-07-05,Bug,Medium,True
116,50,2023-06-14,Technical,Low,False
117,51,2022-04-13,Bug,Low,True
118,51,2021-07-29,Billing,Medium,False
119,53,2024-06-09,Technical,Medium,False
120,54,2022-11-06,Billing,High,False
121,54,2022-05-01,Technical,Medium,False
122,56,2020-01-31,Bug,Medium,False
123,56,2020-02-12,Bug,Low,True
124,56,2020-01-23,Billing,High,False
125,56,2020-01-16,Feature Request,High,False
126,56,2020-01-31,Bug,High,True
127,56,2020-01-25,Billing,High,False
128,56,2020-01-23,Feature Request,Low,False
129,56,2020-01-16,Bug,High,False
130,56,2020-01-20,Feature Request,High,True
131,59,2023-08-21,Billing,Medium,False
132,60,2020-08-31,Technical,High,True
133,60,2024-05-12,Technical,Low,True
134,61,2023-06-05,Billing,Medium,True
135,61,2024-07-15,Technical,Low,True
136,61,2024-06-17,Bug,Low,False
137,63,2022-01-29,Billing,High,True
138,64,2023-02-02,Bug,High,True
139,65,2022-04-18,Billing,High,True
140,65,2023-12-13,Technical,High,False
141,65,2024-02-15,Feature Request,High,False
142,65,2020-11-17,Billing,High,True
143,67,2021-02-09,Bug,Medium,False
144,67,2023-11-26,Feature Request,High,False
145,67,2022-08-22,Billing,High,True
146,67,2023-02-07,Feature Request,High,False
147,68,2023-12-25,Bug,Low,False
148,69,2024-11-20,Bug,High,True
149,69,2023-11-02,Feature Request,Medium,True
150,69,2024-04-02,Feature Request,Medium,False
151,69,2024-02-18,Billing,Low,False
152,70,2024-04-10,Feature Request,Low,False
153,70,2022-09-06,Feature Request,High,True
154,70,2024-01-18,Technical,Medium,True
155,70,2022-12-20,Feature Request,High,True
156,71,2024-07-16,Billing,Low,False
157,71,2024-06-19,Feature Request,High,False
158,71,2024-06-05,Technical,Medium,True
159,72,2021-03-15,Technical,Medium,False
160,72,2021-03-30,Feature Request,Medium,True
161,72,2021-03-20,Feature Request,High,True
162,72,2021-03-02,Feature Request,High,False
163,72,2021-03-18,Technical,Medium,False
164,72,2021-03-08,Feature Request,Medium,False
165,72,2021-03-29,Bug,Medium,True
166,72,2021-03-09,Billing,High,True
167,72,2021-02-28,Technical,Low,True
168,72,2021-03-20,Billing,Low,False
169,74,2022-04-29,Feature Request,Medium,True
170,74,2022-05-16,Billing,Medium,False
171,74,2022-06-09,Billing,Low,False
172,75,2024-12-01,Bug,High,True
173,75,2023-12-01,Feature Request,Low,True
174,75,2024-04-24,Technical,High,False
175,75,2024-09-17,Bug,High,True
176,76,2024-01-12,Technical,Medium,True
177,77,2023-06-28,Billing,Low,False
178,77,2024-10-07,Billing,Medium,True
179,77,2024-08-25,Feature Request,High,True
180,77,2024-12-15,Bug,Low,False
181,78,2023-01-25,Feature Request,Low,True
182,80,2022-04-05,Bug,High,True
183,80,2021-10-11,Billing,Low,False
184,80,2022-10-11,Technical,Low,True
185,81,2024-07-20,Technical,Low,False
186,81,2024-07-03,Billing,Low,False
187,82,2023-02-03,Billing,High,False
188,82,2022-07-05,Feature Request,High,False
189,82,2021-08-16,Technical,Low,False
190,83,2020-11-03,Bug,High,False
191,83,2023-08-20,Technical,High,False
192,84,2024-12-10,Technical,Medium,False
193,84,2024-06-18,Billing,Medium,False
194,84,2024-09-30,Feature Request,Low,True
195,85,2021-11-30,Technical,High,True
196,85,2022-09-30,Bug,Low,True
197,85,2022-08-24,Feature Request,Low,True
198,85,2022-01-23,Technical,Medium,True
199,86,2024-09-01,Feature Request,High,False
200,87,2024-05-12,Technical,Medium,False
201,87,2024-10-29,Billing,High,True
202,87,2024-03-26,Billing,Low,True
203,88,2022-08-14,Feature Request,Low,False
204,89,2024-09-21,Billing,Medium,False
205,89,2024-07-17,Technical,Medium,True
206,89,2024-09-21,Bug,Low,False
207,90,2023-04-15,Feature Request,High,True
208,91,2023-10-19,Feature Request,High,True
209,91,2023-08-27,Bug,Medium,False
210,91,2024-05-13,Billing,High,True
211,92,2021-09-23,Billing,Low,True
212,92,2023-11-11,Feature Request,Medium,False
213,92,2023-12-05,Feature Request,High,False
214,92,2023-08-08,Feature Request,High,True
215,94,2024-08-17,Feature Request,Medium,True
216,94,2024-06-03,Technical,High,False
217,94,2024-03-21,Billing,Medium,False
218,95,2023-08-30,Technical,Low,True
219,95,2023-09-12,Bug,High,False
220,95,2023-09-29,Technical,Medium,True
221,95,2023-09-28,Bug,Medium,False
222,96,2024-06-07,Technical,High,True
223,96,2024-09-11,Bug,High,True
224,97,2024-01-03,Feature Request,High,True
225,97,2023-04-12,Billing,Medium,True
226,97,2023-09-03,Bug,Low,True
227,98,2023-04-28,Technical,High,True
228,98,2022-10-27,Billing,High,False
229,98,2022-11-10,Feature Request,Medium,False
230,98,2022-08-12,Technical,Medium,True
231,99,2022-08-13,Technical,High,False
232,99,2024-02-13,Billing,Low,False
233,100,2023-01-06,Bug,Medium,True
234,100,2022-07-03,Bug,High,True
235,100,2021-08-29,Technical,Low,True
236,100,2024-08-06,Billing,Low,False
237,101,2023-08-03,Bug,Medium,True
238,101,2022-05-19,Bug,High,False
239,102,2024-09-01,Billing,High,True
240,102,2022-12-30,Billing,Low,False
241,103,2021-07-23,Feature Request,High,True
242,103,2024-09-08,Technical,Medium,False
243,104,2024-05-11,Bug,Medium,False
244,104,2024-04-16,Bug,Medium,False
245,104,2024-04-20,Billing,Medium,True
246,105,2024-01-17,Technical,High,False
247,105,2024-03-21,Bug,Low,True
248,106,2024-05-31,Technical,Low,True
249,106,2022-10-09,Billing,Medium,False
250,106,2024-07-17,Technical,Low,False
251,106,2023-09-23,Bug,High,False
252,107,2024-11-18,Technical,Low,True
253,107,2023-04-19,Feature Request,Low,True
254,108,2021-03-28,Billing,High,False
255,108,2024-06-24,Bug,Medium,False
256,109,2024-03-04,Technical,Medium,False
257,109,2024-04-10,Billing,Low,True
258,109,2024-10-07,Technical,Medium,True
259,109,2024-08-15,Billing,Medium,True
260,110,2024-05-11,Billing,Medium,False
261,110,2023-03-09,Feature Request,Medium,False
262,110,2024-12-15,Billing,Medium,True
263,110,2023-09-30,Technical,Medium,True
264,111,2021-03-11,Billing,High,True
265,111,2023-10-10,Feature Request,Medium,False
266,111,2024-06-10,Bug,High,False
267,112,2024-08-24,Billing,Medium,True
268,113,2024-03-15,Technical,High,False
269,113,2024-07-13,Bug,High,True
270,114,2024-11-04,Bug,Medium,False
271,115,2023-01-13,Technical,Medium,False
272,115,2022-09-25,Billing,Low,True
273,115,2024-04-03,Technical,Low,False
274,115,2023-11-21,Feature Request,High,True
275,116,2024-01-27,Bug,Medium,True
276,116,2024-09-04,Feature Request,Low,True
277,116,2024-05-23,Technical,High,False
278,117,2023-10-11,Billing,Low,False
279,117,2024-03-18,Feature Request,Medium,True
280,117,2024-07-31,Bug,High,True
281,119,2024-10-08,Feature Request,Low,False
282,119,2023-10-01,Feature Request,Medium,True
283,119,2022-12-13,Feature Request,Medium,False
284,121,2022-12-07,Bug,High,True
285,121,2023-12-24,Bug,High,True
286,121,2023-01-27,Billing,Medium,True
287,122,2022-08-11,Feature Request,Low,True
288,122,2022-09-29,Technical,Low,True
289,122,2020-11-18,Feature Request,Medium,True
290,122,2022-07-12,Billing,Medium,False
291,124,2023-01-11,Billing,Medium,True
292,124,2022-03-28,Billing,Low,True
293,126,2024-08-27,Bug,High,False
294,126,2024-07-24,Feature Request,Low,True
295,126,2024-11-21,Feature Request,Medium,True
296,127,2023-12-08,Billing,Medium,False
297,127,2023-11-27,Feature Request,High,True
298,127,2024-03-18,Technical,Medium,True
299,127,2024-01-25,Bug,Medium,False
300,128,2021-11-15,Billing,Medium,True
301,128,2020-07-07,Technical,High,False
302,128,2020-12-03,Feature Request,High,False
303,128,2022-12-10,Technical,High,True
304,130,2023-04-15,Bug,Medium,True
305,130,2023-06-23,Billing,Low,False
306,130,2023-08-04,Billing,High,True
307,131,2022-06-01,Billing,High,False
308,131,2023-10-07,Feature Request,High,False
309,131,2023-05-26,Bug,Low,True
310,132,2023-07-22,Bug,Low,True
311,132,2023-06-06,Billing,Low,True
312,133,2024-02-12,Feature Request,Low,False
313,133,2024-06-19,Billing,Low,False
314,133,2023-01-27,Feature Request,Medium,True
315,133,2024-05-03,Feature Request,Low,False
316,134,2024-04-17,Technical,Low,True
317,134,2024-10-01,Billing,Low,True
318,134,2024-08-17,Technical,Low,False
319,135,2024-06-30,Billing,High,False
320,135,2024-07-10,Bug,Medium,True
321,136,2024-09-15,Technical,Medium,True
322,137,2023-11-25,Bug,Medium,False
323,137,2024-01-05,Bug,Medium,True
324,138,2022-09-10,Technical,Medium,True
325,139,2021-08-27,Bug,Medium,False
326,139,2021-08-30,Bug,High,True
327,139,2021-09-04,Bug,Medium,False
328,141,2024-06-05,Bug,Medium,True
329,141,2024-05-18,Technical,Medium,False
330,141,2023-11-04,Billing,High,False
331,141,2022-02-23,Technical,High,False
332,143,2024-03-29,Technical,Low,True
333,143,2023-10-08,Technical,Low,True
334,143,2024-01-18,Billing,Low,True
335,143,2023-05-03,Feature Request,High,True
336,145,2023-09-17,Technical,High,False
337,145,2020-10-21,Billing,Medium,True
338,145,2020-08-01,Billing,Low,True
339,146,2022-01-13,Billing,Medium,True
340,147,2024-06-17,Technical,Low,True
341,148,2024-01-09,Bug,Medium,False
342,149,2023-12-05,Bug,High,True
343,149,2024-11-13,Feature Request,Medium,False
344,149,2024-09-16,Technical,Low,True
345,149,2024-08-28,Technical,Low,False
346,152,2022-11-10,Technical,High,True
347,152,2023-05-09,Billing,Medium,False
348,152,2022-04-23,Billing,Low,False
349,152,2021-10-03,Feature Request,Low,True
350,154,2024-07-24,Billing,Medium,True
351,154,2024-08-04,Billing,Low,True
352,154,2024-07-14,Billing,High,True
353,155,2022-08-26,Bug,Medium,True
354,155,2022-08-17,Bug,Low,True
355,155,2022-09-01,Technical,High,True
356,155,2022-08-31,Bug,Medium,True
357,156,2023-03-18,Feature Request,High,True
358,156,2023-06-15,Feature Request,Low,False
359,156,2023-09-05,Technical,Medium,True
360,156,2024-04-21,Feature Request,Medium,True
361,157,2024-10-19,Billing,Medium,False
362,157,2024-05-17,Technical,Medium,True
363,157,2024-08-24,Feature Request,High,True
364,157,2024-07-21,Billing,High,True
365,161,2023-11-15,Bug,High,False
366,161,2024-04-24,Technical,Low,True
367,161,2024-02-11,Feature Request,Medium,True
368,161,2022-12-15,Billing,Low,False
369,162,2021-12-10,Technical,Medium,False
370,163,2024-09-09,Technical,Low,True
371,163,2023-05-20,Feature Request,High,True
372,163,2024-09-04,Technical,Medium,False
373,167,2024-09-11,Feature Request,High,False
374,167,2023-10-24,Technical,Low,True
375,167,2022-04-03,Bug,Low,False
376,168,2021-03-10,Billing,Medium,False
377,168,2024-01-08,Billing,Medium,False
378,168,2023-12-10,Feature Request,High,False
379,168,2022-06-19,Feature Request,High,True
380,169,2021-05-28,Feature Request,Low,False
381,170,2024-06-16,Feature Request,Medium,False
382,170,2024-06-30,Technical,Low,True
383,170,2024-07-27,Bug,Low,False
384,171,2023-04-22,Billing,High,True
385,171,2024-07-07,Billing,Low,False
386,171,2024-02-19,Bug,High,False
387,172,2024-04-10,Technical,Medium,False
388,172,2024-03-01,Technical,High,True
389,172,2024-06-02,Feature Request,Medium,False
390,172,2024-09-23,Feature Request,High,False
391,173,2023-05-08,Billing,High,True
392,174,2022-11-07,Technical,High,False
393,174,2024-03-30,Bug,High,True
394,174,2023-07-27,Technical,Medium,False
395,176,2023-07-05,Billing,Medium,True
396,176,2024-07-04,Billing,Low,True
397,176,2024-10-11,Billing,Low,False
398,177,2023-02-09,Billing,Low,True
399,177,2023-12-19,Technical,High,False
400,177,2024-04-25,Billing,High,True
401,177,2023-11-09,Feature Request,High,False
402,179,2021-08-31,Feature Request,Low,True
403,179,2022-03-02,Feature Request,Medium,True
404,179,2021-10-27,Bug,Medium,False
405,179,2022-07-22,Bug,Medium,True
406,180,2024-05-29,Bug,High,True
407,180,2024-10-07,Feature Request,High,False
408,182,2022-10-06,Billing,Low,True
409,182,2023-01-20,Bug,Low,False
410,182,2022-10-14,Technical,Medium,True
411,182,2023-01-20,Feature Request,Low,True
412,183,2024-03-26,Feature Request,High,False
413,183,2023-09-05,Bug,Medium,False
414,184,2024-07-11,Bug,Low,False
415,184,2024-02-25,Feature Request,Low,False
416,185,2022-01-11,Billing,Low,False
417,185,2023-04-16,Billing,Medium,False
418,185,2024-12-01,Feature Request,Low,True
419,187,2023-04-11,Billing,High,True
420,187,2023-10-13,Technical,High,False
421,189,2022-12-27,Billing,Medium,False
422,189,2024-02-02,Bug,Low,False
423,189,2023-04-13,Billing,Low,False
424,190,2023-07-17,Technical,High,False
425,190,2023-08-17,Technical,Low,True
426,190,2023-03-27,Technical,High,False
427,190,2023-03-06,Feature Request,High,False
428,191,2022-10-08,Feature Request,Low,False
429,191,2022-01-21,Feature Request,Low,False
430,191,2023-02-09,Technical,Low,True
431,192,2022-04-12,Bug,Low,False
432,193,2020-11-20,Feature Request,Medium,True
433,193,2021-12-29,Bug,Medium,True
434,193,2024-10-13,Feature Request,Medium,True
435,194,2023-11-04,Technical,Low,True
436,195,2023-05-28,Billing,High,True
437,195,2023-12-08,Billing,Medium,True
438,195,2022-12-18,Feature Request,High,False
439,195,2024-03-07,Billing,Medium,False
440,197,2024-11-18,Billing,Medium,True
441,197,2023-08-08,Technical,High,True
442,197,2024-09-01,Bug,Low,True
443,197,2023-03-14,Technical,High,True
444,199,2022-06-30,Feature Request,High,False
445,201,2022-02-16,Billing,Low,False
446,201,2021-03-09,Feature Request,Medium,True
447,201,2022-03-04,Billing,High,False
448,201,2024-03-20,Bug,Medium,False
449,202,2023-10-19,Technical,Low,False
450,202,2023-08-22,Bug,Medium,False
451,202,2024-09-25,Billing,High,True
452,202,2023-08-17,Billing,Medium,False
453,203,2024-10-24,Bug,Low,True
454,203,2022-06-14,Billing,Low,False
455,203,2024-10-11,Technical,Medium,False
456,204,2024-06-16,Billing,High,True
457,204,2022-12-02,Feature Request,High,False
458,204,2023-12-19,Billing,Medium,True
459,204,2022-08-07,Billing,Medium,True
460,205,2023-05-18,Billing,Low,True
461,205,2023-09-04,Feature Request,Medium,False
462,205,2023-06-18,Technical,Low,False
463,205,2023-09-21,Technical,Low,True
464,206,2022-02-13,Bug,Low,True
465,207,2024-10-14,Billing,Low,True
466,208,2021-09-17,Bug,Low,False
467,208,2023-01-13,Bug,Medium,True
468,209,2023-08-05,Billing,Low,False
469,209,2023-08-24,Feature Request,Medium,False
470,209,2023-08-04,Billing,High,False
471,210,2024-04-09,Technical,Medium,False
472,210,2024-08-15,Billing,Medium,True
473,210,2022-06-07,Feature Request,High,False
474,210,2023-02-15,Bug,High,True
475,211,2021-09-10,Billing,High,True
476,211,2021-08-16,Feature Request,High,False
477,211,2021-10-02,Billing,Low,False
478,211,2021-09-25,Billing,Medium,False
479,212,2023-11-17,Technical,Low,True
480,212,2024-03-13,Billing,Medium,True
481,213,2020-09-11,Billing,Low,True
482,213,2020-10-03,Bug,Medium,True
483,213,2020-10-19,Feature Request,Low,False
484,213,2020-09-02,Technical,Low,True
485,213,2020-10-03,Feature Request,Low,True
486,214,2021-11-08,Billing,Medium,False
487,214,2023-06-05,Billing,Low,True
488,214,2023-01-09,Bug,Medium,False
489,215,2024-11-05,Bug,Medium,False
490,216,2022-11-05,Feature Request,Medium,True
491,216,2024-06-22,Billing,Low,False
492,216,2024-05-07,Technical,Low,False
493,217,2024-01-17,Billing,Medium,True
494,217,2023-06-14,Feature Request,Medium,False
495,218,2024-07-24,Bug,Medium,True
496,219,2023-08-20,Billing,Medium,True
497,219,2024-09-29,Bug,Low,True
498,221,2022-01-07,Billing,Medium,False
499,221,2022-01-26,Technical,Medium,True
500,221,2021-10-29,Feature Request,Medium,False
501,222,2021-10-01,Feature Request,Low,False
502,222,2022-11-09,Feature Request,High,False
503,222,2023-06-14,Technical,Low,True
504,223,2024-08-02,Bug,High,True
505,223,2024-11-21,Bug,Medium,True
506,223,2024-09-11,Feature Request,Low,False
507,223,2024-04-10,Billing,Medium,False
508,224,2024-09-25,Billing,High,True
509,224,2024-04-24,Technical,Low,True
510,224,2024-01-22,Technical,High,False
511,224,2023-12-05,Bug,High,False
512,225,2022-11-26,Bug,Low,False
513,225,2021-07-14,Technical,High,False
514,227,2024-08-21,Bug,High,True
515,227,2022-11-18,Bug,Low,False
516,227,2022-11-02,Bug,High,True
517,227,2022-07-30,Bug,High,True
518,228,2023-01-02,Technical,Medium,True
519,229,2023-08-12,Billing,Medium,True
520,229,2022-10-02,Billing,High,False
521,229,2021-11-15,Feature Request,Medium,True
522,230,2024-06-12,Technical,Low,False
523,230,2024-06-14,Technical,High,False
524,230,2024-05-01,Technical,Low,True
525,230,2024-06-17,Billing,Low,False
526,231,2023-07-07,Bug,High,False
527,231,2023-11-07,Technical,High,False
528,233,2024-06-19,Feature Request,High,False
529,235,2023-01-18,Feature Request,High,True
530,235,2021-06-07,Billing,High,True
531,235,2022-10-21,Feature Request,Low,False
532,235,2023-01-25,Billing,High,True
533,237,2023-08-22,Technical,Low,False
534,237,2023-07-20,Feature Request,Medium,False
535,237,2023-02-03,Technical,Low,False
536,237,2023-10-30,Bug,High,False
537,239,2024-06-15,Bug,High,True
538,239,2023-12-01,Billing,Low,False
539,239,2024-07-27,Bug,High,True
540,239,2022-12-14,Feature Request,Medium,False
541,240,2020-06-05,Feature Request,Medium,True
542,240,2020-04-27,Bug,Low,True
543,240,2020-06-16,Technical,High,True
544,240,2020-06-22,Feature Request,Medium,True
545,241,2023-03-29,Bug,Medium,False
546,241,2022-07-15,Billing,High,True
547,241,2023-09-17,Bug,Low,True
548,242,2024-11-23,Bug,Medium,False
549,242,2024-07-17,Billing,Low,False
550,242,2024-08-03,Bug,High,False
551,243,2023-03-05,Feature Request,Low,False
552,243,2024-10-21,Bug,High,True
553,243,2023-02-08,Bug,High,True
554,244,2023-07-25,Billing,Medium,True
555,244,2024-10-29,Bug,Medium,True
556,245,2024-04-14,Feature Request,Low,True
557,245,2024-10-06,Billing,Medium,False
558,246,2024-08-31,Feature Request,High,False
559,246,2024-11-08,Technical,Low,True
560,248,2023-08-20,Bug,High,True
561,248,2024-04-03,Technical,Low,False
562,248,2024-05-27,Feature Request,Low,False
563,248,2024-03-22,Billing,Low,True
564,249,2024-11-06,Bug,Low,False
565,249,2024-08-02,Technical,High,False
566,249,2024-10-23,Billing,High,False
567,250,2024-02-06,Billing,Medium,True
568,250,2024-07-31,Feature Request,High,False
569,250,2023-11-16,Feature Request,Low,False
570,250,2021-07-30,Billing,High,True
571,251,2024-10-30,Bug,Medium,True
572,251,2024-11-01,Technical,Medium,False
573,252,2023-08-29,Feature Request,Low,True
574,252,2021-02-10,Technical,Medium,True
575,252,2023-02-12,Technical,High,True
576,253,2021-06-22,Billing,Medium,False
577,253,2022-06-24,Technical,High,False
578,253,2023-07-08,Billing,Medium,False
579,253,2024-08-18,Bug,High,True
580,255,2023-05-01,Bug,Low,True
581,255,2024-10-16,Billing,Low,True
582,255,2021-09-06,Feature Request,High,True
583,255,2022-08-20,Technical,High,True
584,256,2024-06-12,Bug,Medium,False
585,256,2024-04-05,Feature Request,High,False
586,256,2024-08-20,Billing,High,True
587,257,2024-07-08,Feature Request,Medium,True
588,257,2023-07-04,Bug,Medium,False
589,258,2024-10-26,Technical,Medium,False
590,259,2023-04-07,Feature Request,Low,True
591,259,2023-02-23,Bug,High,True
592,261,2023-12-08,Technical,Low,False
593,261,2024-01-27,Feature Request,Medium,True
594,261,2023-01-14,Billing,Medium,True
595,261,2023-12-28,Feature Request,Medium,False
596,262,2022-04-05,Bug,Low,False
597,262,2022-04-22,Technical,Low,False
598,263,2022-12-12,Feature Request,Low,True
599,264,2021-09-17,Technical,Medium,True
600,265,2024-05-13,Technical,Medium,False
601,265,2023-08-09,Feature Request,Low,False
602,268,2024-06-17,Feature Request,Medium,False
603,269,2023-06-12,Bug,Low,True
604,272,2023-04-15,Technical,High,False
605,272,2023-06-04,Feature Request,Low,True
606,272,2024-09-19,Bug,Low,False
607,274,2023-03-15,Technical,Low,False
608,274,2023-09-27,Technical,Medium,False
609,274,2024-10-11,Bug,High,True
610,274,2022-10-07,Bug,Low,True
611,275,2021-10-19,Feature Request,High,True
612,276,2022-08-04,Feature Request,Medium,True
613,276,2023-01-09,Bug,High,False
614,277,2024-11-07,Bug,High,False
615,277,2024-07-06,Technical,High,False
616,278,2022-07-25,Bug,Medium,True
617,278,2020-03-15,Technical,Medium,False
618,278,2023-02-25,Feature Request,Low,False
619,278,2020-07-01,Billing,Low,False
620,279,2024-04-01,Billing,Medium,True
621,279,2024-07-12,Bug,High,False
622,280,2023-04-03,Bug,Low,True
623,281,2024-05-08,Technical,Low,False
624,281,2024-12-10,Technical,Medium,True
625,282,2023-05-28,Technical,High,True
626,282,2022-06-21,Feature Request,High,False
627,282,2024-05-05,Technical,High,False
628,284,2024-05-30,Feature Request,High,False
629,284,2024-05-23,Billing,High,True
630,284,2024-06-09,Bug,Medium,False
631,284,2024-09-20,Feature Request,High,True
632,285,2024-09-23,Billing,High,False
633,285,2024-03-28,Bug,Low,False
634,286,2024-06-22,Billing,High,True
635,286,2021-11-23,Feature Request,Low,False
636,286,2022-03-01,Bug,High,True
637,286,2023-04-09,Billing,High,False
638,287,2024-04-14,Technical,Medium,False
639,289,2024-03-06,Bug,High,False
640,290,2024-08-29,Billing,High,True
641,290,2022-11-23,Technical,High,True
642,290,2023-01-11,Bug,Medium,True
643,291,2024-06-16,Bug,Medium,False
644,292,2021-07-02,Feature Request,High,False
645,292,2021-10-02,Feature Request,Medium,False
646,292,2024-07-10,Feature Request,High,True
647,295,2023-10-11,Feature Request,High,False
648,295,2023-09-22,Billing,Low,True
649,296,2021-06-07,Technical,Medium,True
650,297,2024-10-30,Billing,Medium,False
651,297,2024-10-04,Billing,Low,True
652,297,2024-06-02,Technical,Low,True
653,298,2023-08-06,Feature Request,Medium,True
654,298,2023-07-29,Feature Request,High,True
655,298,2023-07-26,Feature Request,Low,True
656,298,2023-08-06,Technical,High,False
657,298,2023-08-05,Feature Request,High,True
658,298,2023-07-22,Billing,High,True
659,298,2023-07-28,Billing,Low,True
660,299,2023-10-30,Bug,Low,False
661,301,2023-08-29,Billing,Medium,False
662,301,2023-10-17,Billing,High,False
663,301,2023-10-18,Bug,Low,False
664,302,2023-10-07,Billing,Medium,True
665,302,2024-05-01,Feature Request,High,True
666,302,2023-10-10,Feature Request,High,False
667,302,2023-03-21,Bug,High,True
668,303,2023-12-08,Bug,High,False
669,303,2023-11-03,Bug,Medium,False
670,303,2024-08-29,Feature Request,Medium,True
671,303,2023-06-18,Billing,Low,False
672,304,2023-08-31,Feature Request,Low,False
673,304,2020-11-14,Feature Request,Low,True
674,304,2022-11-28,Feature Request,Low,False
675,305,2024-03-22,Technical,High,False
676,305,2023-07-04,Bug,Medium,True
677,305,2024-10-01,Billing,High,True
678,306,2023-09-29,Technical,High,True
679,306,2023-09-24,Bug,Low,True
680,306,2023-08-18,Billing,High,True
